iter	Passed	Remaining
507	1028	995
508	1030	993
509	1032	992
510	1034	989
511	1035	986
512	1036	984
513	1038	982
514	1040	979
515	1042	977
516	1043	974
517	1044	972
518	1046	969
519	1047	967
520	1049	964
521	1050	962
522	1053	960
523	1056	959
524	1057	957
525	1059	954
526	1061	952
527	1063	950
528	1065	948
529	1067	946
530	1070	945
531	1072	943
532	1075	942
533	1077	940
534	1078	937
535	1080	935
536	1081	932
537	1084	931
538	1086	929
539	1088	927
540	1090	925
541	1092	923
542	1094	920
543	1095	918
544	1099	917
545	1101	915
546	1103	913
547	1105	911
548	1107	909
549	1108	907
550	1110	904
551	1112	902
552	1114	900
553	1116	898
554	1117	896
555	1120	894
556	1123	893
557	1126	892
558	1129	891
559	1132	889
560	1134	887
561	1136	885
562	1137	883
563	1139	880
564	1141	878
565	1143	876
566	1145	874
567	1146	872
568	1148	870
569	1150	867
570	1151	865
571	1153	862
572	1154	860
573	1156	857
574	1157	855
575	1158	852
576	1160	850
577	1161	848
578	1162	845
579	1164	843
580	1166	840
581	1168	838
582	1169	836
583	1171	834
584	1172	831
585	1174	829
586	1175	827
587	1176	824
588	1178	822
589	1179	819
590	1180	817
591	1182	814
592	1183	812
593	1185	810
594	1187	808
595	1189	806
596	1191	804
597	1193	801
598	1194	799
599	1196	797
600	1197	794
601	1198	792
602	1200	790
603	1201	787
604	1202	785
605	1204	782
606	1205	780
607	1206	778
608	1208	775
609	1210	773
610	1211	771
611	1212	769
612	1214	766
613	1215	764
614	1216	761
615	1218	759
616	1219	757
617	1220	754
618	1222	752
619	1223	749
620	1224	747
621	1226	745
622	1227	742
623	1228	740
624	1230	738
625	1232	736
626	1234	734
627	1235	732
628	1237	729
629	1238	727
630	1239	725
631	1241	722
632	1242	720
633	1243	718
634	1245	715
635	1246	713
636	1248	711
637	1249	709
638	1251	706
639	1252	704
640	1254	702
641	1257	701
642	1258	698
643	1259	696
644	1261	694
645	1262	691
646	1263	689
647	1264	687
648	1266	684
649	1267	682
650	1269	680
651	1270	678
652	1271	675
653	1272	673
654	1274	671
655	1275	668
656	1277	666
657	1279	665
658	1281	663
659	1283	660
660	1284	658
661	1285	656
662	1287	654
663	1288	651
664	1289	649
665	1291	647
666	1292	645
667	1293	643
668	1295	640
669	1296	638
670	1297	636
671	1298	633
672	1300	632
673	1302	630
674	1303	627
675	1305	625
676	1306	623
677	1307	621
678	1309	618
679	1310	616
680	1312	614
681	1313	612
682	1314	610
683	1316	607
684	1317	605
685	1319	603
686	1320	601
687	1322	599
688	1324	597
689	1326	595
690	1328	594
691	1330	591
692	1331	589
693	1332	587
694	1334	585
695	1335	583
696	1336	581
697	1338	579
698	1339	576
699	1341	574
700	1342	572
701	1343	570
702	1345	568
703	1347	566
704	1348	564
705	1349	562
706	1350	559
707	1352	557
708	1353	555
709	1355	553
710	1356	551
711	1357	549
712	1359	547
713	1360	544
714	1361	542
715	1362	540
716	1364	538
717	1365	536
718	1368	534
719	1370	532
720	1371	530
721	1373	528
722	1374	526
723	1376	524
724	1377	522
725	1379	520
726	1381	518
727	1382	516
728	1384	514
729	1385	512
730	1387	510
731	1388	508
732	1391	506
733	1392	504
734	1394	502
735	1395	500
736	1397	498
737	1399	496
738	1400	494
739	1402	492
740	1403	490
741	1405	488
742	1406	486
743	1408	484
744	1411	482
745	1413	481
746	1416	479
747	1417	477
748	1419	475
749	1420	473
750	1423	471
751	1424	469
752	1426	467
753	1428	465
754	1429	463
755	1430	461
756	1432	459
757	1433	457
758	1436	456
759	1438	454
760	1439	452
761	1441	450
762	1443	448
763	1445	446
764	1446	444
765	1448	442
766	1450	440
767	1452	438
768	1453	436
769	1455	434
770	1456	432
771	1458	430
772	1460	428
773	1462	427
774	1464	425
775	1465	423
776	1467	421
777	1469	419
778	1471	417
779	1472	415
780	1473	413
781	1475	411
782	1476	409
783	1478	407
784	1480	405
785	1482	403
786	1484	401
787	1485	399
788	1487	397
789	1489	395
790	1490	393
791	1492	391
792	1494	390
793	1495	388
794	1497	386
795	1499	384
796	1500	382
797	1502	380
798	1503	378
799	1505	376
800	1507	374
801	1508	372
802	1509	370
803	1511	368
804	1512	366
805	1513	364
806	1514	362
807	1515	360
808	1517	358
809	1518	356
810	1520	354
811	1521	352
812	1522	350
813	1524	348
814	1525	346
815	1527	344
816	1529	342
817	1531	340
818	1532	338
819	1533	336
820	1535	334
821	1536	332
822	1537	330
823	1539	328
824	1540	326
825	1542	324
826	1543	322
827	1544	320
828	1546	318
829	1547	316
830	1549	315
831	1551	313
832	1552	311
833	1554	309
834	1555	307
835	1556	305
836	1558	303
837	1559	301
838	1560	299
839	1561	297
840	1563	295
841	1565	293
842	1566	291
843	1567	289
844	1569	287
845	1570	285
846	1572	283
847	1573	282
848	1575	280
849	1576	278
850	1578	276
851	1579	274
852	1581	272
853	1582	270
854	1584	268
855	1585	266
856	1587	264
857	1588	262
858	1589	260
859	1591	259
860	1592	257
861	1594	255
862	1597	253
863	1598	251
864	1600	249
865	1601	247
866	1603	245
867	1604	244
868	1605	242
869	1607	240
870	1608	238
871	1610	236
872	1611	234
873	1612	232
874	1614	230
875	1615	228
876	1616	226
877	1619	225
878	1621	223
879	1622	221
880	1623	219
881	1625	217
882	1626	215
883	1628	213
884	1629	211
885	1631	209
886	1632	207
887	1633	206
888	1634	204
889	1636	202
890	1637	200
891	1638	198
892	1640	196
893	1642	194
894	1643	192
895	1644	190
896	1645	188
897	1647	187
898	1648	185
899	1649	183
900	1651	181
901	1652	179
902	1654	177
903	1655	175
904	1656	173
905	1657	172
906	1659	170
907	1660	168
908	1661	166
909	1663	164
910	1664	162
911	1666	160
912	1667	158
913	1668	157
914	1670	155
915	1671	153
916	1672	151
917	1674	149
918	1675	147
919	1677	145
920	1678	143
921	1679	142
922	1681	140
923	1682	138
924	1684	136
925	1685	134
926	1687	132
927	1688	131
928	1689	129
929	1691	127
930	1692	125
931	1694	123
932	1695	121
933	1696	119
934	1697	118
935	1699	116
936	1700	114
937	1701	112
938	1703	110
939	1704	108
940	1706	106
941	1707	105
942	1709	103
943	1710	101
944	1711	99
945	1713	97
946	1714	95
947	1715	94
948	1716	92
949	1718	90
950	1719	88
951	1721	86
952	1722	84
953	1723	83
954	1725	81
955	1726	79
956	1728	77
957	1729	75
958	1731	74
959	1733	72
960	1734	70
961	1736	68
962	1737	66
963	1739	64
964	1740	63
965	1742	61
966	1743	59
967	1744	57
968	1746	55
969	1747	54
970	1749	52
971	1750	50
972	1751	48
973	1753	46
974	1754	44
975	1756	43
976	1757	41
977	1759	39
978	1760	37
979	1761	35
980	1763	34
981	1764	32
982	1766	30
983	1767	28
984	1768	26
985	1770	25
986	1771	23
987	1773	21
988	1774	19
989	1775	17
990	1778	16
991	1779	14
992	1780	12
993	1782	10
994	1783	8
995	1785	7
996	1786	5
997	1787	3
998	1788	1
999	1790	0
